순위,제목,아티스트,앨범
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,LOVE DIVE,IVE (아이브),LOVE DIVE
3,TOMBOY,(여자)아이들,I NEVER DIE
4,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
5,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA (Feat. 아이유),박재범,GANADARA
7,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
8,취중고백,김민석 (멜로망스),취중고백
9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
10,INVU,태연 (TAEYEON),INVU - The 3rd Album
11,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
12,LOVE me,BE'O (비오),LOVE me
13,신호등,이무진,신호등
14,abcdefu,GAYLE,abcdefu
15,ELEVEN,IVE (아이브),ELEVEN
16,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
17,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
18,"스물다섯, 스물하나",자우림,"Goodbye, grief."
19,Stay,The Kid LAROI & Justin Bieber,Stay
20,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
21,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
22,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
23,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
24,어제처럼,폴킴,어제처럼
25,너의 번호를 누르고,김나영,너의 번호를 누르고
26,그대라는 사치,임영웅,사랑의 콜센타 PART62
27,strawberry moon,아이유 (IU),strawberry moon
28,RUN2U,STAYC (스테이씨),YOUNG-LUV.COM
29,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
30,잊었니,임영웅,사랑의 콜센타 PART60
31,끝사랑,임영웅,사랑의 콜센타 PART61
32,라일락,아이유 (IU),IU 5th Album 'LILAC'
33,HERO,임영웅,HERO
34,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
35,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
36,MY BAG,(여자)아이들,I NEVER DIE
37,Bk Love,임영웅,뽕숭아학당 PART23
38,호랑수월가,탑현,호랑수월가
39,Next Level,aespa,Next Level
40,고백,멜로망스 (MeloMance),세 번째 '고백'
41,Bad Habits,Ed Sheeran,=
42,내가 아니라도,주호,내가 아니라도
43,SMILEY (Feat. BIBI),YENA (최예나),SMiLEY
44,너를 생각해,주시크 (Joosiq),너를 생각해
45,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
46,Weekend,태연 (TAEYEON),Weekend
47,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
48,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
49,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
50,서랍,10CM,그 해 우리는 OST Part.1
51,Step Back,GOT the beat,Step Back
52,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album
53,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
54,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
55,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
56,나는 트로트가 싫어요,임창정,별거 없던 그 하루로
57,Real Love,오마이걸 (OH MY GIRL),Real Love
58,우연히 봄,로꼬 & 유주 (YUJU),냄새를 보는 소녀 OST Part.2 (SBS 수목드라마)
59,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
60,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
61,Butter,방탄소년단,Butter
62,드라마,아이유 (IU),조각집
63,봄 사랑 벚꽃 말고,HIGH4 & 아이유,봄 사랑 벚꽃 말고
64,문득,BE'O (비오),Bipolar
65,DAYDREAM,하이라이트 (Highlight),DAYDREAM
66,눈이 오잖아 (Feat. 헤이즈),이무진,눈이 오잖아
67,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light
68,My Universe,Coldplay & 방탄소년단,My Universe
69,벚꽃 엔딩,버스커 버스커 (Busker Busker),버스커 버스커 1집
70,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
71,Permission to Dance,방탄소년단,Butter / Permission to Dance
72,Blueming,아이유 (IU),Love poem
73,Because Of You,Ne-Yo,Because Of You
74,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식 (Basick),쇼미더머니 10 Episode 3
75,벚꽃이 피면 우리 그만 헤어져,벤,벚꽃이 피면 우리 그만 헤어져
76,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
77,2002,Anne-Marie,Speak Your Mind (Deluxe)
78,너의 번호를 누르고 (Prod. by 영화처럼),#안녕,너의 번호를 누르고
79,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
80,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
81,ZOOM,제시,ZOOM
82,아무래도 난,주시크 (Joosiq),아무래도 난
83,헤픈 우연,헤이즈 (Heize),HAPPEN
84,At My Worst,Pink Sweat$,The Prelude
85,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
86,Off My Face,Justin Bieber,Justice
87,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
88,겨울잠,아이유 (IU),조각집
89,Savage,aespa,Savage - The 1st Mini Album
90,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
91,다시 만날까 봐,V.O.S & 이예준,다시 만날까 봐
92,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
93,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
94,Lollipop,딘딘 (DINDIN),Lollipop
95,하늘바라기 (Feat. 하림),정은지,Dream
96,만개 (Prod. 신지후),김호중,우리家
97,노래 (The Song),비투비,Be Together
98,나보다 더 사랑해요,김호중,나보다 더 사랑해요
99,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH),Epik High Is Here 下
100,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
101,잊을 수 있을까,노을,이별을 말하는
102,Loving You Girl (Feat. Hkeem),Peder Elias,Loving You Girl
103,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
104,Dreams Come True,aespa,Dreams Come True - SM STATION
105,12 : 45 (Stripped),etham,12 : 45 (Stripped)
106,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
107,친구라도 될 걸 그랬어,HYNN (박혜원),친구라도 될 걸 그랬어
108,찾았다 내 사랑,V.O.S,찾았다 내 사랑
109,우리가 헤어져야 했던 이유,비비 (BIBI),그 해 우리는 OST Part.2
110,Every Second,Mina Okabe,Every Second
111,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
112,사랑인가 봐 (Acoustic Ver.),김세정,사랑인가 봐 (사내맞선 OST Bonus Track)
113,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
114,흰눈,먼데이 키즈 (Monday Kiz),흰눈
115,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
116,That's Hilarious,Charlie Puth,That's Hilarious
117,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
118,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
119,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
120,고맙소,김호중,내일은 미스터트롯 결승전 베스트
121,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스 (MeloMance),그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
122,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
123,봄날,방탄소년단,YOU NEVER WALK ALONE
124,Can't Control Myself,태연 (TAEYEON),Can't Control Myself
125,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
126,북극성 (Never Goodbye),NCT DREAM,Glitch Mode - The 2nd Album
127,살았소,김호중,살았소
128,선물,멜로망스 (MeloMance),Moonlight
129,폰서트,10CM,4.0
130,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
131,Love Blossom (러브블러썸),케이윌 (K.Will),The 3rd Album Part.2 'Love Blossom (러브블러썸)'
132,Bad,Christopher,Under the Surface
133,꽃 길,BIGBANG (빅뱅),꽃 길
134,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
135,METEOR,창모 (CHANGMO),Boyhood
136,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
137,Memories,Maroon 5,Memories
138,우산이 없어요,김호중,우리家
139,parachute,John K,love ＋ everything else
140,봄이 좋냐??,10CM,3.2
141,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
142,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student,쇼미더머니 10 Episode 1
143,밤편지,아이유 (IU),밤편지
144,Wake Up (Prod. by 코드 쿤스트),개코 & 아우릴고트 (OUREALGOAT) & SINCE & 안병웅 & Tabber & 조광일,쇼미더머니 10 Episode 1
145,Timeless,SG워너비,Wanna Be＋
146,여행,볼빨간사춘기,Red Diary Page.2
147,퇴근길,김호중,우리家
148,O.O,NMIXX,AD MARE
149,부럽지가 않어,장기하,공중부양
150,주저하는 연인들을 위해,잔나비,전설
151,With,김태리 & 남주혁 & 보나 (우주소녀) & 최현욱 & 이주명,스물다섯 스물하나 OST Part 7
152,Christmas Tree,V,그 해 우리는 OST Part.5
153,Arcade,NCT DREAM,Glitch Mode - The 2nd Album
154,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
155,Lovesick Girls,BLACKPINK,THE ALBUM
156,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌)
157,Kiss Me More (Feat. SZA),Doja Cat,Kiss Me More
158,아무도 잠들지 마라 (Nessun Dorma),김호중,The Classic Album
159,시작,가호 (Gaho),이태원 클라쓰 OST Part.2 (JTBC 금토드라마)
160,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
161,하루만 더,빅마마 (Big Mama),하루만 더
162,사랑인걸,한동근,사랑인걸
163,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9 (tvN 금토드라마)
164,Rainy day (Feat. ASH ISLAND & Skinny Brown),PATEKO (파테코),Rainy day
165,목요일 밤 (Feat. 빈지노),어반자카파,목요일 밤
166,백화 (白花) (Narration. 손숙),김호중,우리家
167,Way Back Home,숀 (SHAUN),Take
168,나만의 길 (My Way),김호중,우리家
169,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
170,Dance Monkey,Tones And I,The Kids Are Coming
171,너를 위한 단어 (It's Yours),NCT DREAM,Glitch Mode - The 2nd Album
172,오늘부터 1일 (Day 1),케이윌 (K.Will),ONE FINE DAY
173,잠이 오질 않네요,장범준,잠이 오질 않네요
174,희재,성시경,국화꽃 향기 OST
175,미니카 (Drive),NCT DREAM,Glitch Mode - The 2nd Album
176,희망가 (Prod. by 이지수),김호중,우리家
177,운전만해 (We Ride),브레이브걸스 (Brave girls),We Ride
178,홀로아리랑 (Prod. by 박경훈),김호중,우리家
179,멜로디,ASH ISLAND,멜로디
180,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
181,서툰 이별을 하려해 (Feat. 전상근),윤토벤 (YounToven),서툰 이별을 하려해
182,불협화음 (Feat. AKMU) (Prod. by GRAY),Mudd the student,쇼미더머니 10 Semi Final
183,위대한 사랑 (Un Amore Cosi Grande),김호중,The Classic Album
184,Shape Of You,Ed Sheeran,÷ (Deluxe)
185,Love Theory,태용 (TAEYONG) & 원슈타인,Love Theory - SM STATION
186,"아주, 천천히",비비 (BIBI),스물다섯 스물하나 OST Part 3
187,이별후회,김나영,그 해 우리는 OST Part.4
188,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
189,Light Switch,Charlie Puth,That's Hilarious
190,사실 나는 (Feat. 전건호),경서예지,사실 나는
191,Rewind,NCT DREAM,Glitch Mode - The 2nd Album
192,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
193,아마도 우린,디핵 (D-Hack) & 류수정,아마도 우린 (With ESQUIRE KOREA)
194,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Final
195,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
196,하루하루,BIGBANG (빅뱅),Stand Up (2008 빅뱅 3rd Mini Album)
197,붉은 노을,BIGBANG (빅뱅),REMEMBER
198,Saturday Drip,NCT DREAM,Glitch Mode - The 2nd Album
199,"너, 너",스트레이 (The Stray),her
200,어른,Sondia,나의 아저씨 OST Part. 2 (tvN 수목드라마)
